"Vorname";"Nachname";"Jahrgang";"Partei";"Wahlkreis";"Bundesland";"Listenplatz";
"Bianca";"Goerke";1967;"DIE LINKE";;"Sachsen-Anhalt";9;
"Horst Guenter";"Goermann";1953;"NPD";56;"Bremen";1;
"Ralf";"Goertz";1965;"REP";;"Nordrhein-Westfalen";1;
"Christian";"Goetz";1967;"NPD";215;;;
"Elisabeth";"Goetz";1969;"NPD";223;;;
"Peter";"Goetz";1947;"CDU";273;;;
"Dr. Wolfgang";"Goetzer";1955;"CSU";228;;;
"Marco";"Gogolin";1980;"SPD";;"Rheinland-Pfalz";20;
"Nicole";"Gohlke";1975;"DIE LINKE";219;"Bayern";5;
"Lars";"Gold";1985;"NPD";268;"Baden-Wuerttemberg";7;
"Stephanie-Johanna";"Goldbach";1980;"Tierschutz";;"Berlin";7;
"Hans-Michael";"Goldmann";1946;"FDP";26;"Niedersachsen";3;
"Ulrike";"Goldstein";1976;"GRUENE";219;"Bayern";21;
"Heinz";"Golombeck";1948;"FDP";271;"Baden-Wuerttemberg";15;
"Diana";"Golze";1975;"DIE LINKE";61;"Brandenburg";5;
"Axel";"Gonder";1958;"DIE LINKE";113;;;
"Markus";"Gorges";1975;"CDU";;"Sachsen-Anhalt";10;
"Thomas";"Gorr";1968;"NPD";181;;;
"Ulrike";"Gottschalck";1955;"SPD";169;;;
"Sascha";"Gottschalk";1978;"GRUENE";204;"Rheinland-Pfalz";10;
"Ralf";"Grabow";1965;"FDP";;"Mecklenburg-Vorpommern";6;
"Dirk";"Grabowski";1973;;100;;;
"Andrea";"Graf";1966;"GRUENE";184;"Hessen";13;
"Angelika";"Graf";1947;"SPD";223;"Bayern";8;
"Rainer";"Graf";1957;"oedp";267;;;
"Jutta";"Graf-Baier";1947;"DIE LINKE";;"Baden-Wuerttemberg";15;
"Iris";"Gramberg";1960;"DIE LINKE";28;"Niedersachsen";18;
"Markus";"Grammel";1976;"PBC";269;"Baden-Wuerttemberg";2;
"Ute";"Granold";1955;"CDU";206;"Rheinland-Pfalz";9;
"Bruno";"Granser";1953;"REP";;"Baden-Wuerttemberg";14;
"Dennis";"Granzow";1963;"SPD";;"Brandenburg";14;
"Heinz Hubertus";"Grass";1958;"GRUENE";159;;;
"Armin";"Grassert";1959;"VIOLETTEN";;"Berlin";3;
"Denis";"Gratzke";1978;"NPD";;"Sachsen-Anhalt";9;
"Toralf";"Grau";1986;"REP";;"Sachsen";1;
"Oliver";"Graue";1967;"oedp";;"Hamburg";5;
"Stefan Josef";"Graus";1977;"SPD";;"Saarland";25;
"Gero";"Greb";1945;;288;;;
"Marlies";"Grebe";1956;"SPD";;"Niedersachsen";48;
"Max Josef";"Greckl";1941;"RRP";;"Bayern";10;
"Christian";"Greeb";1984;"NPD";205;"Rheinland-Pfalz";8;
"Sebastian";"Greiber";1980;"FDP";297;;;
"Judith";"Greif";1984;"GRUENE";218;"Bayern";13;
"Annette";"Greilich";1958;"FDP";;"Hessen";32;
"Eberhard";"Grein";1959;"CSU";;"Bayern";62;
"Simon";"Gremmler";1983;"oedp";;"Nordrhein-Westfalen";3;
"Maria";"Greuter";1953;"SPD";;"Saarland";32;
"Michael";"Grewe";1968;"NPD";;"Mecklenburg-Vorpommern";7;
"Monika";"Griefahn";1954;"SPD";37;"Niedersachsen";19;
"Joachim";"Griesbaum";1955;"MLPD";;"Hamburg";1;
"Kerstin";"Griese";1966;"SPD";106;"Nordrhein-Westfalen";14;
"Mareike";"Grigo";1977;"GRUENE";106;"Nordrhein-Westfalen";23;
"Katrin";"Grigoleit";1968;"MLPD";;"Thueringen";5;
"Gisela";"Grimm";1962;"BP";;"Bayern";21;
"Reinhard Dieter";"Grindel";1961;"CDU";36;"Niedersachsen";16;
"Hermann";"Groehe";1961;"CDU";109;"Nordrhein-Westfalen";13;
"Raphael";"Grohganz";1952;"CDU";;"Hessen";28;
"Franz";"Groll";1943;"DIE LINKE";280;;;
"Gabriele";"Groneberg";1955;"SPD";33;"Niedersachsen";14;
"Peter";"Groos";1964;"GRUENE";85;;;
"Michael";"Groschek";1956;"SPD";118;"Nordrhein-Westfalen";65;
"Michael Peter";"Groß";1956;"SPD";123;"Nordrhein-Westfalen";47;
"Thorsten";"Groß";1973;"NPD";173;"Hessen";9;
"Werner";"Groß";1962;"SPD";213;"Bayern";42;
"Klaus";"Große";1953;"FDP";86;"Berlin";9;
"Michael";"Grosse-Broemer";1960;"CDU";37;"Niedersachsen";7;
"Lueder";"Grosser";1973;"BueSo";259;"Baden-Wuerttemberg";5;
"Heinz";"Großhans";1955;"VIOLETTEN";;"Baden-Wuerttemberg";2;
"Marc";"Großjean";1986;"PIRATEN";;"Saarland";2;
"Edward";"Grossmann";1947;"Volksabst.";;"Baden-Wuerttemberg";6;
"Astrid";"Grotelueschen";1964;"CDU";29;"Niedersachsen";21;
"Annette";"Groth";1954;"DIE LINKE";279;"Baden-Wuerttemberg";5;
"Inga";"Groth";1981;"CDU";;"Mecklenburg-Vorpommern";8;
"Andreas";"Grube";1960;;190;;;
"Karl-Peter";"Grube";1951;"oedp";20;"Hamburg";7;
"Andreas";"Gruber";1946;"BP";;"Bayern";22;
"Markus";"Gruebel";1959;"CDU";261;;;
"Michael Johannes";"Gruendler";1958;"BueSo";;"Sachsen";7;
"Rolf";"Gruening";1959;"DIE LINKE";276;;;
"Holger";"Gruenwedel";1958;"DIE LINKE";251;;;
"Michael";"Grueß";1976;"DKP";;"Berlin";17;
"Dr. Stefan";"Grueter";1954;"CDU";;"Baden-Wuerttemberg";41;
"Prof. Monika";"Gruetters";1962;"CDU";86;"Berlin";1;
"Manfred";"Grund";1955;"CDU";189;"Thueringen";1;
"Erhard";"Grundl";1963;"GRUENE";231;"Bayern";20;
"Miriam";"Gruß";1975;"FDP";252;"Bayern";5;
"Helmut";"Gudat";1957;"NPD";90;"Nordrhein-Westfalen";6;
"Elke";"Guelck";1937;"DVU";;"Sachsen-Anhalt";2;
"Tanya-Michelé";"Guenter";1969;"FAMILIE";;"Bayern";4;
"Joachim";"Guenther";1948;"FDP";167;"Sachsen";2;
"Derya";"Guer";1981;"GRUENE";;"Nordrhein-Westfalen";21;
"Achim";"Guessgen";1957;"FDP";177;"Hessen";15;
"Ravindra";"Gujjula";1954;"SPD";60;"Brandenburg";11;
"Dietrich";"Gumppenberg Freiherr von";1941;"FDP";;"Bayern";37;
"Madline";"Gund";1987;"CDU";;"Baden-Wuerttemberg";37;
"Rosemarie";"Gunder";1952;"GRUENE";;"Bayern";23;
"Andrea";"Gungl";1959;"CDU";;"Baden-Wuerttemberg";42;
"Wolfgang";"Gunkel";1947;"SPD";158;"Sachsen";5;
"Erold";"Gutowski";1950;"REP";;"Baden-Wuerttemberg";9;
"Hermann";"Gutsche";1954;"NPD";5;"Schleswig-Holstein";6;
"Dr. Karl-Theodor";"Guttenberg Freiherr von und zu";1971;"CSU";240;"Bayern";3;
"Olav";"Gutting";1970;"CDU";278;;;
"Dr. Gregor";"Gysi";1948;"DIE LINKE";85;"Berlin";1;
"Tilo";"Haag";1978;"PIRATEN";;"Mecklenburg-Vorpommern";5;
"Detlef";"Haar";1945;"RRP";46;;;
"Heiner Joachim";"Haase";1957;"GRUENE";35;"Niedersachsen";10;
"Stephan";"Haase";1968;"NPD";150;"Nordrhein-Westfalen";2;
"Christine";"Habereder";1963;"Volksabst.";;"Baden-Wuerttemberg";2;
"Thomas";"Habisch";1969;"PIRATEN";;"Brandenburg";3;
"Manuel";"Hachenburger";1962;;177;;;
"Tino";"Hackenbruch";1977;"CDU";;"Rheinland-Pfalz";17;
"Hans-Joachim";"Hacker";1949;"SPD";13;"Mecklenburg-Vorpommern";1;
"Maria";"Hackl";1956;"SPD";253;"Bayern";32;
"Verena";"Haeggberg";1973;"oedp";;"Hamburg";2;
"Joerg";"Haehnel";1975;"NPD";77;"Berlin";2;
"Stella";"Haehnel";1972;"NPD";63;;;
"Andrea";"Haehner";1961;"MLPD";;"Schleswig-Holstein";3;
"Guenter";"Haemer";1940;"REP";;"Hessen";3;
"Lothar";"Haensch";1949;"FDP";19;"Hamburg";8;
"Heike";"Haensel";1966;"DIE LINKE";290;"Baden-Wuerttemberg";2;
"Siegfried";"Haerle";1935;"NPD";292;;;
"Dr. Gesine";"Haerting";1958;"GRUENE";75;;;
"Jenny";"Haese";1987;"BueSo";;"Brandenburg";2;
"Peter Joachim Bruno";"Haese";1937;"NPD";230;;;
"Reinhard Gerd-Juergen";"Haese";1948;"REP";;"Berlin";1;
"Markus";"Haeßler";1983;;238;;;
"Gotthard Lothar";"Haeupl";1949;;160;;;
"Angelika Jutta";"Hagedorn";1957;"FAMILIE";;"Nordrhein-Westfalen";6;
"Bettina";"Hagedorn";1955;"SPD";9;"Schleswig-Holstein";2;
"Gene";"Hagelstein";1967;"SPD";;"Hessen";21;
"Klaus";"Hagemann";1947;"SPD";207;"Rheinland-Pfalz";9;
"Heide";"Hagen";1956;"PIRATEN";;"Berlin";2;
"Joerg";"Hager";1980;"NPD";;"Baden-Wuerttemberg";9;
"Ina";"Hager-Dietel";1959;"CSU";;"Bayern";46;
"Rita";"Hagl";1970;"SPD";227;"Bayern";34;
"Florian";"Hahn";1974;"CSU";222;"Bayern";33;
"Michael";"Hahn";1970;"NPD";54;"Niedersachsen";7;
"Holger-Heinrich";"Haibach";1971;"CDU";176;"Hessen";17;
"Metin";"Hakverdi";1969;"SPD";;"Hamburg";10;
"Fredy";"Halbroth";1953;"REP";;"Baden-Wuerttemberg";10;
"Marcel";"Haliti";1983;"NPD";119;;;
"Alexandra";"Hall";1972;"ZENTRUM";;"Nordrhein-Westfalen";3;
"Ingo";"Haller";1972;"NPD";91;;;
"Matthias";"Halmanns";1981;"NPD";115;;;
"Karen";"Haltaufderheide";1960;"GRUENE";139;"Nordrhein-Westfalen";19;
"Ralf";"Hamacher";1962;"FAMILIE";;"Nordrhein-Westfalen";8;
"Enrico";"Hamisch";1974;"NPD";;"Mecklenburg-Vorpommern";8;
"Sandro";"Hammer";1974;"DIE LINKE";235;"Bayern";26;
"Tim";"Hanke";1979;"CDU";;"Schleswig-Holstein";17;
"Brigit Susanne";"Hannemann-Roettgers";1961;"SPD";;"Schleswig-Holstein";16;
"Dr. Christel";"Happach-Kasan";1950;"FDP";10;"Schleswig-Holstein";2;
"Dr. Stephan";"Harbarth";1971;"CDU";277;;;
"Juergen";"Hardt";1963;"CDU";104;"Nordrhein-Westfalen";48;
"Oliver";"Harf";1972;"NPD";88;;;
"Burkhard";"Harting";1962;"ZENTRUM";;"Nordrhein-Westfalen";5;
"Alexander";"Hartmann";1961;"BueSo";179;"Hessen";1;
"Birgit";"Hartmann";1960;"BP";;"Bayern";23;
"Detlef";"Hartmann";1959;"NPD";104;;;
"Esther";"Hartmann";1955;"DIE LINKE";6;"Schleswig-Holstein";3;
"Georg";"Hartmann";1936;"NPD";187;"Hessen";8;
"Guenther";"Hartmann";1965;"oedp";219;"Bayern";19;
"Maria";"Hartmann";1955;"FAMILIE";;"Nordrhein-Westfalen";1;
"Michael";"Hartmann";1963;"SPD";206;"Rheinland-Pfalz";2;
"Simon";"Hartmann";1977;"SPD";;"Niedersachsen";37;
"Thomas";"Hartmann";1963;"GRUENE";256;;;
"Uwe";"Hartmann";1963;"BP";;"Bayern";2;
"Sabine";"Hartmann-Bastert";1974;"CDU";;"Hessen";44;
"Frank";"Hartwig";1960;"NPD";255;;;
"Karin";"Hartwig";1960;"NPD";253;;;
"Agnes";"Hasenjaeger";1950;"DIE LINKE";;"Niedersachsen";11;
"Dagmar";"Hassel";1958;"CDU";;"Rheinland-Pfalz";18;
"Sarah Luzia";"Hassel-Reusing";1961;"oedp";;"Nordrhein-Westfalen";12;
"Philipp Maximilian";"Hasselbach";1987;"NPD";222;;;
"Gerda";"Hasselfeldt";1950;"CSU";216;"Bayern";2;
"Britta";"Haßelmann";1961;"GRUENE";133;"Nordrhein-Westfalen";3;
"Florian";"Haßler";1977;"GRUENE";260;"Baden-Wuerttemberg";14;
"Joergen Michael";"Hassler";1983;"SPD";;"Brandenburg";15;
"Marc";"Hauck";1978;"FDP";;"Rheinland-Pfalz";28;
"Michael";"Hauck";1970;"GRUENE";244;;;
"Norbert";"Hauck";1949;"REP";;"Rheinland-Pfalz";1;
"Rainer";"Hauenschild";1968;"DIE LINKE";261;;;
"Matthias";"Hauer";1977;"CDU";121;"Nordrhein-Westfalen";46;
"Nina";"Hauer";1968;"SPD";177;"Hessen";11;
"Stefan";"Haug";1958;"GRUENE";230;;;
"Friedrich";"Haugg";1969;"FDP";;"Bayern";28;
"Gabriele";"Hauptstein";1960;"FDP";67;"Sachsen-Anhalt";4;
"Heinz-Peter";"Haustein";1954;"FDP";165;"Sachsen";3;
"Sven-Gunnar";"Haverlandt";1978;"NPD";;"Brandenburg";5;
"Maria-Anna";"Hebach";1946;"Volksabst.";;"Baden-Wuerttemberg";5;
"Stefan";"Heck";1982;"CDU";172;"Hessen";19;
"Doris";"Heer";1949;"DIE LINKE";;"Baden-Wuerttemberg";17;
"Lutz";"Heerwald";1960;"MLPD";;"Brandenburg";2;
"Brigitte";"Hegendoerfer";1955;"CSU";;"Bayern";47;
"Ute";"Hegener";1955;"GRUENE";120;;;
"Reinhard";"Hegewald";1964;"CDU";25;"Niedersachsen";22;
"Silvio";"Heidbuechel";1988;"DIE LINKE";253;"Bayern";20;
"Wilfried Bernd Juergen";"Heidemann";1939;"RRP";;"Nordrhein-Westfalen";3;
"Dr. Matthias";"Heider";1966;"CDU";150;;;
"Helmut";"Heiderich";1949;"CDU";170;"Hessen";15;
"Anny";"Heike";1948;"DIE LINKE";243;;;
"Hubertus";"Heil";1972;"SPD";46;"Niedersachsen";3;
"Mechthild";"Heil";1961;"CDU";199;"Rheinland-Pfalz";10;
"Martin";"Heilemann";1966;"DIE LINKE";25;"Niedersachsen";31;
"Lutz Eberhard";"Heilmann";1966;"DIE LINKE";9;;;
"Adrian";"Heim";1964;"oedp";216;"Bayern";20;
"Dirk";"Heimsoth";1956;"NPD";39;;;
"Dr. Rosemarie Anna Gertrud";"Hein";1953;"DIE LINKE";70;"Sachsen-Anhalt";5;
"Tobias";"Heine";1986;"PIRATEN";;"Niedersachsen";10;
"Silvia";"Heinel";1988;"BueSo";80;"Berlin";6;
"Uwe";"Heinemann";1975;"SPD";;"Hessen";41;
"Anita";"Heinemeyer";1948;"DIE LINKE";93;;;
"Alexandra";"Heinen";1971;"CDU";;"Saarland";15;
"Ursula";"Heinen-Esser";1965;"CDU";94;"Nordrhein-Westfalen";3;
"Filip";"Heinlein";1985;"GRUENE";196;;;
"Frank";"Heinrich";1964;"CDU";163;;;
"Ralf";"Heinrich";1962;"BueSo";253;"Bayern";10;
"Dr. Christine";"Heins";1963;"CDU";;"Schleswig-Holstein";26;
"Marcus";"Heintel";1976;"SPD";201;"Rheinland-Pfalz";15;
"Alexander";"Heinz";1978;"FDP";;"Saarland";8;
"Axel";"Heinzmann";1946;"NPD";289;;;
"Gerhard";"Heinzmann";1940;"PBC";;"Baden-Wuerttemberg";1;
"Michael";"Heinzmann";1969;"PBC";;"Rheinland-Pfalz";1;
"Thorsten";"Heise";1969;"NPD";189;"Thueringen";3;
"Thomas Martin";"Heiske";1966;"FDP";114;"Nordrhein-Westfalen";47;
"Michael";"Heitchen";1971;"FDP";52;"Niedersachsen";18;
"Ingo";"Helge";1976;"NPD";206;"Rheinland-Pfalz";6;
"Hendrik Tilmann";"Heller";1986;"NPD";197;"Thueringen";5;
"Uda Carmen Freia";"Heller";1951;"CDU";75;"Sachsen-Anhalt";2;
"Harald";"Helling";1958;"SPD";;"Niedersachsen";45;
"Katrin";"Helling";1986;"FDP";139;"Nordrhein-Westfalen";28;
"Wolfgang";"Hellmich";1958;"SPD";147;"Nordrhein-Westfalen";15;
"Ronnie";"Hellriegel";1978;"NPD";258;;;
"Jan";"Helmer";1964;"CSU";;"Bayern";34;
"Dr. Reinhold";"Hemker";1944;"SPD";129;;;
"Dennis";"Hempel";1983;;78;;;
"Rolf";"Hempelmann";1948;"SPD";120;"Nordrhein-Westfalen";61;
"Dr. Barbara";"Hendricks";1952;"SPD";113;"Nordrhein-Westfalen";9;
"Rudolf";"Henke";1954;"CDU";88;"Nordrhein-Westfalen";41;
"Walter";"Henke";1952;"FDP";58;"Brandenburg";8;
"Werner";"Henn";1957;"SPD";278;"Baden-Wuerttemberg";35;
"Andreas";"Henne";1966;"CDU";;"Hessen";31;
"Stefanie";"Henneke";1979;"GRUENE";34;;;
"Martin";"Hennig";1970;"BueSo";219;"Bayern";13;
"Wolff-Eberhard";"Hennigs von";1929;"CDU";;"Baden-Wuerttemberg";34;
"Dr. Rigolf";"Henning";1935;"NPD";35;;;
"Dieter";"Hennne";1955;"FAMILIE";;"Saarland";6;
"Michael";"Hennrich";1965;"CDU";262;;;
"Werner";"Henrichs";1938;"Volksabst.";99;"Nordrhein-Westfalen";3;
"Ursula Maria";"Henry";1941;"SPD";;"Saarland";13;
"Norbert";"Hense";1990;;284;;;
"Christoph";"Hentzen";1959;"FDP";186;"Hessen";20;
"Clemens";"Henzler";1945;"CDU";;"Rheinland-Pfalz";35;
"Dr. Ernst Albert";"Herbert";1952;"MLPD";102;;;
"Sibylle";"Herbert";1942;"FDP";;"Hessen";31;
"Stefan";"Herbert";1965;"VIOLETTEN";;"Baden-Wuerttemberg";7;
"Dr. Ulrich";"Herbert";1952;"FDP";238;"Bayern";17;
"Bettina";"Herlitzius";1960;"GRUENE";89;"Nordrhein-Westfalen";13;
"Petra";"Hermann";1960;"FDP";121;"Nordrhein-Westfalen";42;
"Winfried";"Hermann";1952;"GRUENE";290;"Baden-Wuerttemberg";6;
"Stefan";"Hermes";1967;"PIRATEN";;"Hessen";4;
"Hans-Dieter";"Herold";1951;"GRUENE";240;;;
"Baerbel";"Herr";1948;"REP";;"Bayern";6;
"Dr. Dietrich";"Herrmann";1962;"GRUENE";160;;;
"Juergen";"Herrmann";1962;"CDU";137;;;
"Detlef";"Hertz";1967;"DIE LINKE";;"Nordrhein-Westfalen";31;
"Christine";"Hertzler-Zimmer";1966;"SPD";;"Saarland";26;
"Monica";"Herz";1956;;226;;;
"Franz";"Herzig";1950;"CDU";;"Hessen";33;
"Gustav";"Herzog";1958;"SPD";210;"Rheinland-Pfalz";4;
"Konrad Rudolf";"Heß";1939;"FAMILIE";;"Rheinland-Pfalz";6;
"Marion";"Heß";1967;"FDP";259;"Baden-Wuerttemberg";24;
"Petra";"Heß";1959;"SPD";192;"Thueringen";4;
"Klaus-Peter";"Hesse";1967;"CDU";;"Hamburg";9;
"Peter";"Hettlich";1959;"GRUENE";152;;;
"Ingrid";"Hetz";1956;"VIOLETTEN";228;"Bayern";3;
"Markus";"Heurung";1977;"PIRATEN";251;;;
"Walter";"Heuser";1936;"DIE LINKE";101;;;
"Ansgar";"Heveling";1972;"CDU";111;;;
"Matthias";"Heyder";1972;"NPD";69;"Sachsen-Anhalt";1;
"Dr. Juergen";"Heydrich";1933;"REP";;"Nordrhein-Westfalen";2;
"Hannah";"Heyenn";1982;"DIE LINKE";;"Hamburg";5;
"Bernd Reinhold Gerhard";"Heynemann";1954;"CDU";70;"Sachsen-Anhalt";9;
"Wolfgang";"Hiebinger";1946;"BP";;"Bayern";24;
"Antje";"Hiekisch";1977;"NPD";;"Sachsen";2;
"Michael Siegmund Reinhard";"Hien";1987;"CSU";;"Bayern";44;
"Uwe";"Hiksch";1964;"DIE LINKE";238;;;
"Karl Willi Arthur";"Hilburger";1947;"RRP";;"Bayern";5;
"Anna-Maria";"Hildebrand";1985;"BueSo";81;"Berlin";8;
"Arne";"Hildebrandt";1985;"PIRATEN";;"Brandenburg";4;
"Robert";"Hildebrandt";1983;"PIRATEN";;"Thueringen";5;
"Frank";"Hilgenkamp";1972;"GRUENE";147;;;
"Rainer";"Hilgert";1953;"oedp";;"Rheinland-Pfalz";1;
"Axel";"Hilker";1967;"GRUENE";;"Schleswig-Holstein";12;
"Hans-Kurt";"Hill";1950;"DIE LINKE";298;;;
"Dirk";"Hillbrecht";1972;"PIRATEN";;"Niedersachsen";1;
"Heinz";"Hillebrand";1954;"DIE LINKE";104;;;
"Gabriele";"Hiller-Ohm";1953;"SPD";11;"Schleswig-Holstein";4;
"Ernst";"Hinsken";1943;"CSU";231;;;
"Henning";"Hintze";1942;"DIE LINKE";221;"Bayern";16;
"Peter";"Hintze";1950;"CDU";103;"Nordrhein-Westfalen";4;
"Petra";"Hinz";1962;"SPD";121;"Nordrhein-Westfalen";32;
"Priska";"Hinz";1959;"GRUENE";173;"Hessen";1;
"Cornelia";"Hirsch";1980;"DIE LINKE";192;"Thueringen";5;
"Christian";"Hirte";1976;"CDU";190;"Thueringen";4;
"Thomas";"Hitschler";1982;"SPD";;"Rheinland-Pfalz";32;
"Robert";"Hochbaum";1954;"CDU";167;;;
"Stephan";"Hochstein";1983;"BueSo";141;"Nordrhein-Westfalen";9;
"Heidrun";"Hoeche";1959;"VIOLETTEN";;"Baden-Wuerttemberg";10;
"Manuel";"Hoeferlin";1973;"FDP";207;"Rheinland-Pfalz";5;
"Ulrike";"Hoefken-Deipenbrock";1955;"GRUENE";203;"Rheinland-Pfalz";1;
"Inge";"Hoeger";1950;"DIE LINKE";134;"Nordrhein-Westfalen";3;
"Dr. Eva";"Hoegl";1969;"SPD";76;"Berlin";7;
"Joerg";"Hoehfeld";1944;"GRUENE";142;;;
"Baerbel";"Hoehn";1952;"GRUENE";118;"Nordrhein-Westfalen";1;
"Renate";"Hoehne";1956;"MLPD";;"Nordrhein-Westfalen";21;
"Dr. Barbara";"Hoell";1957;"DIE LINKE";153;"Sachsen";3;
"Ingrid";"Hoenlinger";1964;"GRUENE";265;"Baden-Wuerttemberg";9;
"Michael Hans";"Hoentsch";1954;"DIE LINKE";42;"Niedersachsen";29;
"Manfred";"Hoerner";1951;"MLPD";;"Bayern";9;
"Ruediger";"Hoersch";1964;"RRP";;"Saarland";1;
"Heinz-Juergen";"Hoerster";1949;"DIE LINKE";99;"Nordrhein-Westfalen";26;
"Joachim";"Hoerster";1945;"CDU";205;"Rheinland-Pfalz";1;
"Andreas Christian";"Hoeveler";1944;"DVU";;"Nordrhein-Westfalen";4;
"Heinrich";"Hoevelmann";1956;"FAMILIE";;"Nordrhein-Westfalen";12;
"Jan";"Hoevener";1966;;55;;;
"Heiner";"Hoeving";1960;"DVU";;"Sachsen-Anhalt";1;
"Ulrich";"Hoewing";1983;;140;;;
"Elke";"Hoff";1957;"FDP";198;"Rheinland-Pfalz";3;
"Dr. Bettina";"Hoffman";1960;"GRUENE";;"Hessen";9;
"Dieter";"Hoffmann";1965;"GRUENE";;"Saarland";3;
"Hans-Viktor";"Hoffmann";1943;"FDP";;"Brandenburg";7;
"Dr. Ludwig";"Hoffmann";1937;"BueSo";;"Baden-Wuerttemberg";4;
"Rolf";"Hoffmann";1935;;7;;;
"Susanne";"Hoffmann";1960;"NPD";281;;;
"Timo";"Hoffmann";1978;"BueSo";;"Berlin";11;
"Ulrich";"Hoffmann";1962;"oedp";253;"Bayern";2;
"Michael";"Hoffmeier";1969;"GRUENE";189;"Thueringen";6;
"Axel";"Hofmann";1944;"DIE LINKE";100;;;
"Frank";"Hofmann";1949;"SPD";250;"Bayern";11;
"Frank";"Hofmann";1957;"BP";250;;;
"Franziska";"Hofmann";1948;"CM";;"Bayern";10;
"Friedrich";"Hofmann";1954;"MLPD";;"Thueringen";3;
"Dr. Anton";"Hofreiter";1970;"GRUENE";222;"Bayern";4;
"Hermann";"Hofstetter";1962;"oedp";225;"Bayern";21;
"Ruth";"Hohenadl";1960;"FDP";218;"Bayern";27;
"Anna Helga Angela";"Hohmann";1963;"SPD";;"Niedersachsen";44;
"Michael";"Holl";1990;;251;;;
"Karin";"Hollack";1940;"NPD";48;;;
"Karl";"Holmeier";1956;"CSU";234;;;
"Ingeborg";"Holst";1938;"Tierschutz";;"Baden-Wuerttemberg";1;
"Angela Brigitte";"Holz";1979;"SPD";;"Niedersachsen";38;
"Franz-Josef";"Holzenkamp";1960;"CDU";33;"Niedersachsen";30;
"Malte";"Holzer";1965;"NPD";32;"Niedersachsen";5;
"Birgit";"Homburger";1965;"FDP";287;"Baden-Wuerttemberg";1;
"Gerhard";"Honsel";1946;"FAMILIE";;"Nordrhein-Westfalen";7;
"Dr. Wielant";"Hopfner";1942;"NPD";250;"Bayern";5;
"Ulrich";"Hopmann";1953;"SPD";;"Nordrhein-Westfalen";64;
"Siegmund";"Hoppe";1953;"PIRATEN";;"Hamburg";3;
"Thilo";"Hoppe";1958;"GRUENE";25;"Niedersachsen";4;
"Margaret";"Horb";1967;"CDU";;"Baden-Wuerttemberg";18;
"Rainer";"Horbas";1970;"FDP";152;;;
"Waldemar";"Horn";1973;"NPD";214;;;
"Mirco";"Hornig";1973;"REP";;"Nordrhein-Westfalen";16;
"Cornelia";"Hornung";1975;"SPD";;"Hessen";24;
"Fritz-Walter";"Hornung";1957;"DIE LINKE";181;;;
"Nicole";"Hornung";1958;"PIRATEN";186;"Hessen";7;
"Sophia";"Horz-Hoevel";1963;"GRUENE";;"Hessen";15;
"Bettina";"Houben";1960;"FDP";96;"Nordrhein-Westfalen";36;
"Dr. Guido";"Hoyer";1968;"DIE LINKE";215;"Bayern";14;
"Dr. Werner";"Hoyer";1951;"FDP";95;"Nordrhein-Westfalen";4;
"André Torsten";"Hubatschek";1965;"FDP";166;"Sachsen";8;
"Edda";"Huber";1938;"Tierschutz";;"Bayern";5;
"Judith";"Huber";1963;"SPD";;"Berlin";13;
"Juergen";"Huber";1954;"GRUENE";233;;;
"Klaus";"Huber";1942;"FAMILIE";;"Bayern";5;
"Konrad";"Huber";1967;"REP";256;"Bayern";8;
"Martin";"Huber";1960;"REP";;"Bayern";9;
"Ute";"Hubig";1947;"CDU";;"Saarland";10;
"Anette";"Huebinger";1955;"CDU";296;"Saarland";2;
"Bernd Michael";"Huebner";1961;"DIE LINKE";123;;;
"Klaas";"Huebner";1967;"SPD";72;;;
"Johannes";"Huehnlein";1984;"NPD";248;;;
"Robert";"Huemer";1967;"oedp";252;"Bayern";22;
"Hubert";"Hueppe";1956;"CDU";145;"Nordrhein-Westfalen";22;
"Michael";"Huffer";1956;"DIE LINKE";49;;;
"Christian";"Hufgard";1979;"PIRATEN";;"Hessen";3;
"Roland Wolfgang";"Hultsch";1955;"BueSo";;"Sachsen";12;
"Christel";"Humme";1949;"SPD";140;"Nordrhein-Westfalen";25;
"Alexander Helmut";"Hummel";1977;"CSU";;"Bayern";40;
"Peter";"Hummel";1965;"BueSo";;"Hessen";5;
"Thomas";"Hummel";1982;"BP";;"Bayern";10;
"Werner";"Hummel";1963;"FAMILIE";;"Bayern";10;
"Christian";"Hummert";1979;"DIE LINKE";;"Thueringen";11;
"Ralph";"Hunderlach";1974;"PIRATEN";;"Bayern";8;
"Andrej Konstantin";"Hunko";1963;"DIE LINKE";88;"Nordrhein-Westfalen";6;
"Jelica";"Hunner";1960;"BP";;"Bayern";25;
"Johann";"Hunner";1941;"BP";;"Bayern";26;
"Vera";"Hupe";1959;"oedp";;"Thueringen";6;
"Martina";"Hurst";1982;"CDU";;"Baden-Wuerttemberg";23;
"Monica";"Hussinger";1960;"FDP";;"Saarland";4;
"Christian";"Huth";1964;"BueSo";206;;;
"Joachim";"Huth";1960;"BueSo";24;;;
"Richard";"Igelmann";1977;"DVU";;"Niedersachsen";5;
"Klaus-Dieter";"Ilius";1948;"MLPD";;"Berlin";5;
"Petra";"Ilius";1950;"MLPD";85;"Berlin";3;
"Danial";"Ilkhanipour";1981;"SPD";21;;;
"Joerg Joachim";"Irion";1939;"MLPD";;"Brandenburg";3;
"Philipp";"Irmscher";1988;"FDP";237;"Bayern";42;
